,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Alt,Effect,ConsumptionPattern,Sex,AgeCategory,AgeGroup
0,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,0.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Overall
1,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,7.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Overall
2,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,13.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
3,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,1761.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
4,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,367.0,Harmful Effects,Any Alcohol Use,Male,Other,Overall
5,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,406.0,Harmful Effects,Any Alcohol Use,Male,Other,Overall
6,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,773.0,Harmful Effects,Any Alcohol Use,Male,Other,Overall
7,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,367.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
8,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,367.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
9,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,734.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
10,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,14.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Overall
11,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,0.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Overall
12,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,14.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Overall
13,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,185.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+
14,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,2346.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
15,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,29.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
16,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,31.0,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21
17,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,386.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34
18,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,14.0,Harmful Effects,Any Alcohol Use,Overall,Other,0-19
19,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,0.0,Harmful Effects,Any Alcohol Use,Overall,Other,0-19
20,2015,2019,WV,West Virginia,ARDI,Total,Total,Total for All Causes,14.0,Harmful Effects,Any Alcohol Use,Overall,Other,0-19
21,2015,2019,WV,West Virginia,ARDI,Acute,Total,Total for All Causes,14.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
22,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,44.0,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21
23,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,586.0,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall
24,2015,2019,WV,West Virginia,ARDI,Chronic,Total,Total for All Causes,0.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19
25,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,794.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49
26,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,952.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64
27,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),12014.0,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall
28,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),128.0,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21
29,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),17671.0,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall
