,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Effect,ConsumptionPattern,Sex,AgeCategory,AgeGroup,LocationID,ConditionTypeID,CategoryID,Cause_of_DeathID,EffectID,ConsumptionID,SexID,AgeCategoryID,AgeGroupID,DataValueTypeID,DataValueUnitId
1246,2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,10,10.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,1,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
1249,2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,54,54.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,1,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
1251,2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,82,82.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,1,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
1254,2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,115,115.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,1,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
1255,2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,23,23.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,1,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
1257,2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,28,28.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,1,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
1260,2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,68,68.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,1,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
1262,2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,85,85.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,1,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
1316,2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,13,13.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,1,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
1326,2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Fire injuries,Alcohol-attributable deaths,5 years average,13,13.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,1,ACUTE,CAT9,FIREIN,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
1342,2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,Alcohol-attributable deaths,5 years average,113,113.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,1,ACUTE,CAT9,HOMICI,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
1343,2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,Alcohol-attributable deaths,5 years average,15,15.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,1,ACUTE,CAT9,HOMICI,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
1345,2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,Alcohol-attributable deaths,5 years average,22,22.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,1,ACUTE,CAT9,HOMICI,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
1348,2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,Alcohol-attributable deaths,5 years average,32,32.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,1,ACUTE,CAT9,HOMICI,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
