,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Effect,ConsumptionPattern,Sex,AgeCategory,AgeGroup,LocationID,ConditionTypeID,CategoryID,Cause_of_DeathID,EffectID,ConsumptionID,SexID,AgeCategoryID,AgeGroupID,DataValueTypeID,DataValueUnitId
2,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,13,13.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
3,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,1761,1761.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
13,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,185,185.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
14,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,2346,2346.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
15,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,29,29.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
16,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,31,31.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
17,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,386,386.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
22,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,44,44.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
23,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,586,586.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
25,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,794,794.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
26,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Alcohol poisoning,Alcohol-attributable deaths,5 years average,952,952.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT6,ALCPOI,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
27,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,12014,12014.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
28,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,128,128.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
29,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,17671,17671.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
32,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,206,206.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,0-19,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age1,AAD,5YEARSAVG
33,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,307,307.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
34,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,435,435.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
36,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,4987,4987.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
38,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,5537,5537.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
40,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,5656,5656.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
41,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,6085,6085.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
43,2015,2019,US,United States,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,856,856.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
44,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,1173,1173.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
46,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,1191,1191.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Under 21,Under 21,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,UN21,Age21,AAD,5YEARSAVG
47,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,12650,12650.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
48,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,2820,2820.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
49,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,3059,3059.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
50,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,3100,3100.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
51,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,391,391.0,,,Harmful Effects,Excessive Alcohol Use,Female,Under 21,Under 21,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENF,UN21,Age21,AAD,5YEARSAVG
52,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,4707,4707.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
54,2015,2019,US,United States,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,801,801.0,,,Harmful Effects,Excessive Alcohol Use,Male,Under 21,Under 21,99,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENM,UN21,Age21,AAD,5YEARSAVG
