YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Alt,Effect,ConsumptionPattern,Sex,AgeGroup
2015,2019,1,0,0,0,1,3,26.0,0,1,2,5
2015,2019,1,0,0,0,1,35,10.0,0,1,2,4
2015,2019,1,0,0,0,1,35,134.0,0,1,1,5
2015,2019,1,0,0,0,1,35,216.0,0,1,2,5
2015,2019,1,0,0,0,1,35,54.0,0,1,2,3
2015,2019,1,0,0,0,1,35,82.0,0,1,0,5
2015,2019,1,0,0,0,1,35,82.0,0,1,2,2
2015,2019,1,0,0,0,5,31,115.0,0,1,2,1
2015,2019,1,0,0,0,5,31,23.0,0,1,2,0
2015,2019,1,0,0,0,5,31,247.0,0,1,1,5
2015,2019,1,0,0,0,5,31,28.0,0,1,2,4
2015,2019,1,0,0,0,5,31,319.0,0,1,2,5
2015,2019,1,0,0,0,5,31,68.0,0,1,2,3
2015,2019,1,0,0,0,5,31,72.0,0,1,0,5
2015,2019,1,0,0,0,5,31,85.0,0,1,2,2
2015,2019,1,0,0,0,6,21,19.0,0,1,2,5
2015,2019,1,0,0,0,6,23,13.0,0,1,2,3
2015,2019,1,0,0,0,6,23,26.0,0,1,2,5
2015,2019,1,0,0,0,6,24,13.0,0,1,0,5
2015,2019,1,0,0,0,6,24,13.0,0,1,2,4
2015,2019,1,0,0,0,6,24,20.0,0,1,1,5
2015,2019,1,0,0,0,6,24,33.0,0,1,2,5
2015,2019,1,0,0,0,6,26,113.0,0,1,2,1
2015,2019,1,0,0,0,6,26,15.0,0,1,2,4
2015,2019,1,0,0,0,6,26,204.0,0,1,1,5
2015,2019,1,0,0,0,6,26,22.0,0,1,2,0
2015,2019,1,0,0,0,6,26,251.0,0,1,2,5
2015,2019,1,0,0,0,6,26,32.0,0,1,2,3
2015,2019,1,0,0,0,6,26,47.0,0,1,0,5
2015,2019,1,0,0,0,6,26,68.0,0,1,2,2
2015,2019,1,0,0,0,8,38,150.0,0,1,1,5
2015,2019,1,0,0,0,8,38,190.0,0,1,2,5
2015,2019,1,0,0,0,8,38,37.0,0,1,2,4
2015,2019,1,0,0,0,8,38,39.0,0,1,0,5
2015,2019,1,0,0,0,8,38,49.0,0,1,2,3
2015,2019,1,0,0,0,8,38,50.0,0,1,2,2
2015,2019,1,0,0,1,0,0,11.0,0,1,2,4
2015,2019,1,0,0,1,0,0,17.0,0,1,2,3
2015,2019,1,0,0,1,0,0,36.0,0,1,2,5
2015,2019,1,0,0,1,0,2,12.0,0,1,0,5
2015,2019,1,0,0,1,0,2,30.0,0,1,2,3
2015,2019,1,0,0,1,0,2,38.0,0,1,1,5
2015,2019,1,0,0,1,0,2,50.0,0,1,2,5
2015,2019,1,0,0,1,0,5,133.0,0,1,2,3
2015,2019,1,0,0,1,0,5,182.0,0,1,1,5
2015,2019,1,0,0,1,0,5,251.0,0,1,2,5
2015,2019,1,0,0,1,0,5,55.0,0,1,2,4
