,LocationDesc,Data_Value_Alt,Cluster
0,Alabama,134.0,0
1,Alabama,82.0,1
2,Alabama,247.0,0
3,Alabama,72.0,1
4,Alabama,13.0,1
5,Alabama,20.0,1
6,Alabama,204.0,0
7,Alabama,47.0,1
8,Alabama,150.0,0
9,Alabama,39.0,1
10,Alabama,12.0,1
11,Alabama,38.0,1
12,Alabama,182.0,0
13,Alabama,69.0,1
14,Alabama,19.0,1
15,Alabama,17.0,1
16,Alabama,70.0,1
17,Alabama,57.0,1
18,Alabama,67.0,1
19,Alabama,14.0,1
20,Alabama,20.0,1
21,Alabama,12.0,1
22,Alabama,23.0,1
23,Alabama,109.0,1
24,Alabama,143.0,0
25,Alabama,134.0,0
26,Alabama,82.0,1
27,Alabama,247.0,0
28,Alabama,72.0,1
29,Alabama,13.0,1
30,Alabama,20.0,1
31,Alabama,204.0,0
32,Alabama,47.0,1
33,Alabama,150.0,0
34,Alabama,39.0,1
35,Alabama,12.0,1
36,Alabama,38.0,1
37,Alabama,182.0,0
38,Alabama,69.0,1
39,Alabama,37.0,1
40,Alabama,11.0,1
41,Alabama,46.0,1
42,Alabama,99.0,1
43,Alabama,26.0,1
44,Alabama,35.0,1
45,Alabama,109.0,1
46,Alabama,143.0,0
47,Alaska,11.0,1
48,Alaska,17.0,1
49,Alaska,12.0,1
50,Alaska,24.0,1
51,Alaska,10.0,1
52,Alaska,36.0,1
53,Alaska,44.0,1
54,Alaska,46.0,1
55,Alaska,11.0,1
56,Alaska,17.0,1
57,Alaska,12.0,1
58,Alaska,24.0,1
59,Alaska,10.0,1
60,Alaska,36.0,1
61,Alaska,44.0,1
62,Alaska,46.0,1
63,Arizona,24.0,1
64,Arizona,81.0,1
65,Arizona,128.0,0
66,Arizona,283.0,0
67,Arizona,11.0,1
68,Arizona,18.0,1
69,Arizona,246.0,0
70,Arizona,86.0,1
71,Arizona,19.0,1
72,Arizona,40.0,1
73,Arizona,146.0,0
74,Arizona,38.0,1
75,Arizona,248.0,0
76,Arizona,71.0,1
77,Arizona,23.0,1
78,Arizona,77.0,1
79,Arizona,143.0,0
80,Arizona,52.0,1
81,Arizona,272.0,0
82,Arizona,527.0,4
83,Arizona,34.0,1
84,Arizona,130.0,0
85,Arizona,35.0,1
86,Arizona,110.0,1
87,Arizona,172.0,0
88,Arizona,18.0,1
89,Arizona,19.0,1
90,Arizona,14.0,1
91,Arizona,22.0,1
92,Arizona,103.0,1
93,Arizona,116.0,0
94,Arizona,24.0,1
95,Arizona,81.0,1
96,Arizona,128.0,0
97,Arizona,283.0,0
98,Arizona,246.0,0
99,Arizona,86.0,1
100,Arizona,19.0,1
101,Arizona,40.0,1
102,Arizona,146.0,0
103,Arizona,38.0,1
104,Arizona,248.0,0
105,Arizona,71.0,1
106,Arizona,23.0,1
107,Arizona,77.0,1
108,Arizona,143.0,0
109,Arizona,52.0,1
110,Arizona,272.0,0
111,Arizona,527.0,4
112,Arizona,61.0,1
113,Arizona,17.0,1
114,Arizona,10.0,1
115,Arizona,21.0,1
116,Arizona,19.0,1
117,Arizona,75.0,1
118,Arizona,122.0,0
119,Arizona,190.0,0
120,Arizona,33.0,1
