YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Alt,Effect,ConsumptionPattern,Sex,AgeGroup
2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),10.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),54.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),82.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,115.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,23.0,Harmful Effects,Excessive Alcohol Use,Overall,0-19
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,28.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,68.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,85.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Fall injuries,13.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Fire injuries,13.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,113.0,Harmful Effects,Excessive Alcohol Use,Overall,20-34
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,15.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,22.0,Harmful Effects,Excessive Alcohol Use,Overall,0-19
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,32.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Other Acute Causes,Homicide,68.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Acute,Suicide,Suicide,37.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Acute,Suicide,Suicide,49.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Acute,Suicide,Suicide,50.0,Harmful Effects,Excessive Alcohol Use,Overall,35-49
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,11.0,Harmful Effects,Excessive Alcohol Use,Overall,65+
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcohol abuse,17.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,30.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
2015,2019,AL,Alabama,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,133.0,Harmful Effects,Excessive Alcohol Use,Overall,50-64
