LocationDesc,Cluster
Alabama,3
Alaska,0
Arizona,3
Arkansas,3
California,4
Colorado,3
Connecticut,3
Delaware,0
District of Columbia,0
Florida,4
Georgia,3
Hawaii,0
Idaho,3
Illinois,3
Indiana,3
Iowa,3
Kansas,3
Kentucky,3
Louisiana,3
Maine,0
Maryland,3
Massachusetts,3
Michigan,3
Minnesota,3
Mississippi,3
Missouri,3
Montana,0
Nebraska,3
Nevada,3
New Hampshire,0
New Jersey,3
New Mexico,3
New York,4
North Carolina,3
North Dakota,0
Ohio,3
Oklahoma,3
Oregon,3
Pennsylvania,3
Rhode Island,0
South Carolina,3
South Dakota,0
Tennessee,3
Texas,4
Utah,3
Vermont,0
Virginia,3
Washington,3
West Virginia,3
Wisconsin,3
Wyoming,0
