LocationAbbr,Data_Value_Alt,Cluster
AL,10.0,0
AL,54.0,0
AL,82.0,4
AL,115.0,4
AL,23.0,0
AL,28.0,0
AL,68.0,4
AL,85.0,4
AL,13.0,0
AL,13.0,0
AL,113.0,4
AL,15.0,0
AL,22.0,0
AL,32.0,0
AL,68.0,4
AL,37.0,0
AL,49.0,0
AL,50.0,0
AL,11.0,0
AL,17.0,0
AL,30.0,0
AL,133.0,4
AL,55.0,0
AL,56.0,0
AL,12.0,0
AL,19.0,0
AL,20.0,0
AL,31.0,0
AL,12.0,0
AL,19.0,0
AL,20.0,0
AL,62.0,0
AL,25.0,0
AL,90.0,4
AL,23.0,0
AL,31.0,0
AL,104.0,4
AL,121.0,4
AL,25.0,0
AL,10.0,0
AL,54.0,0
AL,82.0,4
AL,115.0,4
AL,23.0,0
AL,28.0,0
AL,68.0,4
AL,85.0,4
AL,13.0,0
AL,13.0,0
AL,113.0,4
AL,15.0,0
AL,22.0,0
AL,32.0,0
AL,68.0,4
AL,37.0,0
AL,49.0,0
AL,50.0,0
AL,11.0,0
AL,17.0,0
AL,30.0,0
AL,133.0,4
AL,55.0,0
AL,56.0,0
AL,10.0,0
AL,23.0,0
AL,17.0,0
AL,34.0,0
AL,17.0,0
AL,22.0,0
AL,34.0,0
AL,19.0,0
AL,31.0,0
AL,17.0,0
AL,12.0,0
AL,36.0,0
AL,100.0,4
AL,11.0,0
AL,33.0,0
AL,14.0,0
AL,42.0,0
AL,11.0,0
AL,104.0,4
AL,121.0,4
AL,25.0,0
AK,11.0,0
AK,11.0,0
AK,13.0,0
AK,11.0,0
AK,12.0,0
AK,11.0,0
AK,19.0,0
AK,12.0,0
AK,12.0,0
AK,14.0,0
AK,25.0,0
AK,41.0,0
AK,11.0,0
AK,11.0,0
AK,13.0,0
AK,11.0,0
AK,12.0,0
AK,11.0,0
AK,19.0,0
AK,12.0,0
AK,12.0,0
AK,14.0,0
AK,25.0,0
AK,41.0,0
AZ,10.0,0
AZ,36.0,0
AZ,38.0,0
AZ,12.0,0
AZ,120.0,4
AZ,125.0,4
AZ,130.0,4
AZ,24.0,0
AZ,114.0,4
AZ,21.0,0
AZ,36.0,0
AZ,77.0,4
AZ,84.0,4
AZ,19.0,0
AZ,30.0,0
AZ,14.0,0
AZ,15.0,0
AZ,26.0,0
AZ,47.0,0
AZ,82.0,4
AZ,15.0,0
AZ,70.0,4
AZ,73.0,4
AZ,80.0,4
AZ,81.0,4
AZ,22.0,0
AZ,24.0,0
AZ,45.0,0
AZ,41.0,0
AZ,47.0,0
AZ,93.0,4
AZ,185.0,4
AZ,207.0,2
AZ,369.0,2
AZ,12.0,0
AZ,21.0,0
AZ,11.0,0
AZ,30.0,0
AZ,14.0,0
AZ,28.0,0
AZ,47.0,0
AZ,10.0,0
AZ,22.0,0
AZ,16.0,0
AZ,132.0,4
AZ,28.0,0
AZ,233.0,2
AZ,37.0,0
AZ,28.0,0
AZ,33.0,0
AZ,123.0,4
AZ,19.0,0
AZ,73.0,4
NH,10.0,0
AZ,10.0,0
AZ,36.0,0
AZ,38.0,0
AZ,12.0,0
AZ,120.0,4
AZ,125.0,4
AZ,130.0,4
AZ,24.0,0
AZ,114.0,4
AZ,21.0,0
AZ,36.0,0
AZ,77.0,4
AZ,84.0,4
AZ,19.0,0
AZ,30.0,0
AZ,14.0,0
AZ,15.0,0
AZ,26.0,0
AZ,47.0,0
AZ,82.0,4
AZ,15.0,0
AZ,70.0,4
AZ,73.0,4
AZ,80.0,4
AZ,81.0,4
AZ,22.0,0
AZ,24.0,0
AZ,45.0,0
AZ,41.0,0
AZ,47.0,0
AZ,93.0,4
AZ,185.0,4
AZ,207.0,2
AZ,369.0,2
AZ,12.0,0
AZ,17.0,0
AZ,38.0,0
AZ,19.0,0
AZ,53.0,0
AZ,11.0,0
AZ,29.0,0
AZ,30.0,0
AZ,51.0,0
AZ,17.0,0
AZ,35.0,0
AZ,16.0,0
AZ,29.0,0
AZ,16.0,0
AZ,76.0,4
AZ,12.0,0
AZ,250.0,2
AZ,48.0,0
AZ,13.0,0
AZ,49.0,0
AZ,11.0,0
AZ,123.0,4
AZ,19.0,0
AZ,73.0,4
AR,12.0,0
AR,28.0,0
AR,32.0,0
AR,41.0,0
AR,12.0,0
AR,19.0,0
AR,38.0,0
AR,41.0,0
AR,54.0,0
AR,11.0,0
AR,11.0,0
AR,30.0,0
AR,45.0,0
AR,25.0,0
AR,34.0,0
AR,35.0,0
AR,10.0,0
AR,16.0,0
AR,100.0,4
AR,42.0,0
AR,45.0,0
AR,14.0,0
AR,13.0,0
AR,21.0,0
AR,13.0,0
AR,21.0,0
AR,66.0,0
AR,104.0,4
AR,24.0,0
AR,15.0,0
AR,13.0,0
AR,11.0,0
AR,46.0,0
AR,60.0,0
AR,12.0,0
AR,28.0,0
AR,32.0,0
AR,41.0,0
AR,12.0,0
AR,19.0,0
AR,38.0,0
AR,41.0,0
AR,54.0,0
AR,11.0,0
AR,11.0,0
AR,30.0,0
AR,45.0,0
AR,25.0,0
AR,34.0,0
AR,35.0,0
AR,10.0,0
AR,16.0,0
AR,100.0,4
AR,42.0,0
AR,45.0,0
AR,14.0,0
AR,11.0,0
AR,23.0,0
AR,11.0,0
AR,14.0,0
AR,23.0,0
AR,13.0,0
AR,20.0,0
AR,11.0,0
AR,12.0,0
AR,38.0,0
AR,11.0,0
AR,112.0,4
AR,30.0,0
AR,27.0,0
AR,11.0,0
AR,46.0,0
AR,60.0,0
