,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Alt,Effect,ConsumptionPattern,Sex,AgeGroup
1247,2015,2019,1,0,0,0,1,25,134.0,0,1,1,0
1250,2015,2019,1,0,0,0,1,25,82.0,0,1,0,0
1256,2015,2019,1,0,0,0,5,22,247.0,0,1,1,0
1261,2015,2019,1,0,0,0,5,22,72.0,0,1,0,0
1325,2015,2019,1,0,0,0,6,18,13.0,0,1,0,0
1327,2015,2019,1,0,0,0,6,18,20.0,0,1,1,0
1344,2015,2019,1,0,0,0,6,19,204.0,0,1,1,0
1349,2015,2019,1,0,0,0,6,19,47.0,0,1,0,0
1411,2015,2019,1,0,0,0,8,28,150.0,0,1,1,0
1414,2015,2019,1,0,0,0,8,28,39.0,0,1,0,0
1457,2015,2019,1,0,0,1,0,1,12.0,0,1,0,0
1459,2015,2019,1,0,0,1,0,1,38.0,0,1,1,0
1511,2015,2019,1,0,0,1,0,4,182.0,0,1,1,0
1515,2015,2019,1,0,0,1,0,4,69.0,0,1,0,0
1579,2015,2019,1,0,0,1,2,8,19.0,0,1,0,0
1688,2015,2019,1,0,0,1,3,15,17.0,0,1,0,0
1691,2015,2019,1,0,0,1,3,15,70.0,0,1,1,0
1701,2015,2019,1,0,0,1,3,20,57.0,0,1,1,0
1702,2015,2019,1,0,0,1,3,20,67.0,0,1,0,0
1711,2015,2019,1,0,0,1,3,26,14.0,0,1,0,0
1712,2015,2019,1,0,0,1,3,26,20.0,0,1,1,0
1722,2015,2019,1,0,0,1,3,27,12.0,0,1,0,0
1723,2015,2019,1,0,0,1,3,27,23.0,0,1,1,0
1776,2015,2019,1,0,0,1,4,21,109.0,0,1,0,0
1778,2015,2019,1,0,0,1,4,21,143.0,0,1,1,0
1892,2015,2019,1,0,0,0,1,25,134.0,0,0,1,0
1895,2015,2019,1,0,0,0,1,25,82.0,0,0,0,0
1899,2015,2019,1,0,0,0,5,22,247.0,0,0,1,0
1903,2015,2019,1,0,0,0,5,22,72.0,0,0,0,0
1949,2015,2019,1,0,0,0,6,18,13.0,0,0,0,0
1951,2015,2019,1,0,0,0,6,18,20.0,0,0,1,0
1963,2015,2019,1,0,0,0,6,19,204.0,0,0,1,0
1967,2015,2019,1,0,0,0,6,19,47.0,0,0,0,0
2011,2015,2019,1,0,0,0,8,28,150.0,0,0,1,0
2014,2015,2019,1,0,0,0,8,28,39.0,0,0,0,0
2045,2015,2019,1,0,0,1,0,1,12.0,0,0,0,0
2047,2015,2019,1,0,0,1,0,1,38.0,0,0,1,0
2084,2015,2019,1,0,0,1,0,4,182.0,0,0,1,0
2088,2015,2019,1,0,0,1,0,4,69.0,0,0,0,0
2134,2015,2019,1,0,0,1,2,8,37.0,0,0,0,0
2190,2015,2019,1,0,0,1,2,14,11.0,0,0,1,0
2240,2015,2019,1,0,0,1,3,20,46.0,0,0,0,0
2241,2015,2019,1,0,0,1,3,20,99.0,0,0,1,0
2246,2015,2019,1,0,0,1,3,26,26.0,0,0,0,0
2247,2015,2019,1,0,0,1,3,26,35.0,0,0,1,0
2301,2015,2019,1,0,0,1,4,21,109.0,0,0,0,0
2303,2015,2019,1,0,0,1,4,21,143.0,0,0,1,0
2442,2015,2019,0,1,0,0,1,2,11.0,0,1,0,0
2444,2015,2019,0,1,0,0,1,2,17.0,0,1,1,0
2453,2015,2019,0,1,0,0,1,25,12.0,0,1,0,0
2455,2015,2019,0,1,0,0,1,25,24.0,0,1,1,0
2617,2015,2019,0,1,0,0,8,28,10.0,0,1,0,0
2620,2015,2019,0,1,0,0,8,28,36.0,0,1,1,0
2718,2015,2019,0,1,0,1,0,4,44.0,0,1,1,0
2719,2015,2019,0,1,0,1,0,4,46.0,0,1,0,0
3089,2015,2019,0,1,0,0,1,2,11.0,0,0,0,0
3091,2015,2019,0,1,0,0,1,2,17.0,0,0,1,0
3097,2015,2019,0,1,0,0,1,25,12.0,0,0,0,0
3099,2015,2019,0,1,0,0,1,25,24.0,0,0,1,0
3217,2015,2019,0,1,0,0,8,28,10.0,0,0,0,0
3220,2015,2019,0,1,0,0,8,28,36.0,0,0,1,0
3291,2015,2019,0,1,0,1,0,4,44.0,0,0,1,0
3292,2015,2019,0,1,0,1,0,4,46.0,0,0,0,0
3648,2015,2019,3,2,0,0,1,2,24.0,0,1,0,0
3651,2015,2019,3,2,0,0,1,2,81.0,0,1,1,0
3657,2015,2019,3,2,0,0,1,25,128.0,0,1,0,0
3661,2015,2019,3,2,0,0,1,25,283.0,0,1,1,0
3663,2015,2019,3,2,0,0,5,22,11.0,0,1,0,1
3665,2015,2019,3,2,0,0,5,22,18.0,0,1,1,1
3667,2015,2019,3,2,0,0,5,22,246.0,0,1,1,0
3673,2015,2019,3,2,0,0,5,22,86.0,0,1,0,0
3724,2015,2019,3,2,0,0,6,17,19.0,0,1,0,0
3727,2015,2019,3,2,0,0,6,17,40.0,0,1,1,0
3754,2015,2019,3,2,0,0,6,19,146.0,0,1,1,0
3759,2015,2019,3,2,0,0,6,19,38.0,0,1,0,0
3821,2015,2019,3,2,0,0,8,28,248.0,0,1,1,0
3824,2015,2019,3,2,0,0,8,28,71.0,0,1,0,0
3845,2015,2019,3,2,0,1,0,0,23.0,0,1,0,0
3848,2015,2019,3,2,0,1,0,0,77.0,0,1,1,0
3866,2015,2019,3,2,0,1,0,1,143.0,0,1,1,0
3870,2015,2019,3,2,0,1,0,1,52.0,0,1,0,0
3923,2015,2019,3,2,0,1,0,4,272.0,0,1,0,0
3925,2015,2019,3,2,0,1,0,4,527.0,0,1,1,0
3989,2015,2019,3,2,0,1,2,8,34.0,0,1,0,0
4098,2015,2019,3,2,0,1,3,15,130.0,0,1,1,0
4102,2015,2019,3,2,0,1,3,15,35.0,0,1,0,0
4109,2015,2019,3,2,0,1,3,20,110.0,0,1,1,0
4110,2015,2019,3,2,0,1,3,20,172.0,0,1,0,0
4121,2015,2019,3,2,0,1,3,26,18.0,0,1,1,0
4122,2015,2019,3,2,0,1,3,26,19.0,0,1,0,0
4132,2015,2019,3,2,0,1,3,27,14.0,0,1,0,0
4133,2015,2019,3,2,0,1,3,27,22.0,0,1,1,0
4185,2015,2019,3,2,0,1,4,21,103.0,0,1,0,0
4186,2015,2019,3,2,0,1,4,21,116.0,0,1,1,0
4295,2015,2019,3,2,0,0,1,2,24.0,0,0,0,0
4298,2015,2019,3,2,0,0,1,2,81.0,0,0,1,0
4302,2015,2019,3,2,0,0,1,25,128.0,0,0,0,0
4305,2015,2019,3,2,0,0,1,25,283.0,0,0,1,0
4309,2015,2019,3,2,0,0,5,22,246.0,0,0,1,0
4314,2015,2019,3,2,0,0,5,22,86.0,0,0,0,0
4350,2015,2019,3,2,0,0,6,17,19.0,0,0,0,0
4353,2015,2019,3,2,0,0,6,17,40.0,0,0,1,0
4372,2015,2019,3,2,0,0,6,19,146.0,0,0,1,0
4376,2015,2019,3,2,0,0,6,19,38.0,0,0,0,0
4420,2015,2019,3,2,0,0,8,28,248.0,0,0,1,0
4423,2015,2019,3,2,0,0,8,28,71.0,0,0,0,0
4438,2015,2019,3,2,0,1,0,0,23.0,0,0,0,0
4441,2015,2019,3,2,0,1,0,0,77.0,0,0,1,0
4453,2015,2019,3,2,0,1,0,1,143.0,0,0,1,0
4457,2015,2019,3,2,0,1,0,1,52.0,0,0,0,0
4495,2015,2019,3,2,0,1,0,4,272.0,0,0,0,0
4497,2015,2019,3,2,0,1,0,4,527.0,0,0,1,0
4544,2015,2019,3,2,0,1,2,8,61.0,0,0,0,0
4600,2015,2019,3,2,0,1,2,14,17.0,0,0,1,0
4623,2015,2019,3,2,0,1,3,7,10.0,0,0,0,0
4624,2015,2019,3,2,0,1,3,7,21.0,0,0,1,0
4631,2015,2019,3,2,0,1,3,15,19.0,0,0,0,0
4632,2015,2019,3,2,0,1,3,15,75.0,0,0,1,0
4646,2015,2019,3,2,0,1,3,20,122.0,0,0,0,0
4647,2015,2019,3,2,0,1,3,20,190.0,0,0,1,0
4655,2015,2019,3,2,0,1,3,26,33.0,0,0,1,0
4656,2015,2019,3,2,0,1,3,26,34.0,0,0,0,0
4709,2015,2019,3,2,0,1,4,21,103.0,0,0,0,0
4710,2015,2019,3,2,0,1,4,21,116.0,0,0,1,0
4864,2015,2019,2,3,0,0,1,25,43.0,0,1,0,0
4865,2015,2019,2,3,0,0,1,25,65.0,0,1,1,0
4869,2015,2019,2,3,0,0,5,22,127.0,0,1,1,0
4873,2015,2019,2,3,0,0,5,22,36.0,0,1,0,0
4962,2015,2019,2,3,0,0,6,19,25.0,0,1,0,0
4965,2015,2019,2,3,0,0,6,19,87.0,0,1,1,0
5026,2015,2019,2,3,0,0,8,28,106.0,0,1,1,0
5029,2015,2019,2,3,0,0,8,28,30.0,0,1,0,0
5126,2015,2019,2,3,0,1,0,4,136.0,0,1,1,0
5130,2015,2019,2,3,0,1,0,4,59.0,0,1,0,0
5193,2015,2019,2,3,0,1,2,8,12.0,0,1,0,0
5303,2015,2019,2,3,0,1,3,15,18.0,0,1,0,0
5306,2015,2019,2,3,0,1,3,15,74.0,0,1,1,0
5317,2015,2019,2,3,0,1,3,20,61.0,0,1,1,0
5318,2015,2019,2,3,0,1,3,20,76.0,0,1,0,0
5393,2015,2019,2,3,0,1,4,21,55.0,0,1,0,0
5395,2015,2019,2,3,0,1,4,21,63.0,0,1,1,0
5509,2015,2019,2,3,0,0,1,25,43.0,0,0,0,0
5510,2015,2019,2,3,0,0,1,25,65.0,0,0,1,0
5512,2015,2019,2,3,0,0,5,22,127.0,0,0,1,0
5515,2015,2019,2,3,0,0,5,22,36.0,0,0,0,0
5579,2015,2019,2,3,0,0,6,19,25.0,0,0,0,0
5582,2015,2019,2,3,0,0,6,19,87.0,0,0,1,0
5625,2015,2019,2,3,0,0,8,28,106.0,0,0,1,0
5628,2015,2019,2,3,0,0,8,28,30.0,0,0,0,0
5698,2015,2019,2,3,0,1,0,4,136.0,0,0,1,0
5702,2015,2019,2,3,0,1,0,4,59.0,0,0,0,0
5748,2015,2019,2,3,0,1,2,8,22.0,0,0,0,0
5849,2015,2019,2,3,0,1,3,20,101.0,0,0,1,0
5854,2015,2019,2,3,0,1,3,20,53.0,0,0,0,0
5859,2015,2019,2,3,0,1,3,26,17.0,0,0,0,0
5860,2015,2019,2,3,0,1,3,26,21.0,0,0,1,0
5916,2015,2019,2,3,0,1,4,21,55.0,0,0,0,0
5918,2015,2019,2,3,0,1,4,21,63.0,0,0,1,0
6055,2015,2019,4,4,0,0,1,2,224.0,0,1,1,0
6058,2015,2019,4,4,0,0,1,2,69.0,0,1,0,0
6068,2015,2019,4,4,0,0,1,25,408.0,0,1,0,0
6070,2015,2019,4,4,0,0,1,25,954.0,0,1,1,0
6071,2015,2019,4,4,0,0,5,22,1036.0,0,1,1,0
6077,2015,2019,4,4,0,0,5,22,333.0,0,1,0,0
6078,2015,2019,4,4,0,0,5,22,44.0,0,1,0,1
6080,2015,2019,4,4,0,0,5,22,89.0,0,1,1,1
6100,2015,2019,4,4,0,0,6,6,15.0,0,1,0,0
6101,2015,2019,4,4,0,0,6,6,18.0,0,1,1,0
6122,2015,2019,4,4,0,0,6,16,30.0,0,1,0,0
6125,2015,2019,4,4,0,0,6,16,96.0,0,1,1,0
6131,2015,2019,4,4,0,0,6,17,146.0,0,1,1,0
6135,2015,2019,4,4,0,0,6,17,57.0,0,1,0,0
6144,2015,2019,4,4,0,0,6,18,33.0,0,1,0,0
6146,2015,2019,4,4,0,0,6,18,48.0,0,1,1,0
6161,2015,2019,4,4,0,0,6,19,15.0,0,1,0,1
6162,2015,2019,4,4,0,0,6,19,150.0,0,1,0,0
6166,2015,2019,4,4,0,0,6,19,739.0,0,1,1,0
6169,2015,2019,4,4,0,0,6,19,99.0,0,1,1,1
6226,2015,2019,4,4,0,0,8,28,13.0,0,1,0,1
6228,2015,2019,4,4,0,0,8,28,232.0,0,1,0,0
6233,2015,2019,4,4,0,0,8,28,45.0,0,1,1,1
6235,2015,2019,4,4,0,0,8,28,801.0,0,1,1,0
6253,2015,2019,4,4,0,1,0,0,242.0,0,1,1,0
6256,2015,2019,4,4,0,1,0,0,75.0,0,1,0,0
6274,2015,2019,4,4,0,1,0,1,115.0,0,1,0,0
6277,2015,2019,4,4,0,1,0,1,362.0,0,1,1,0
6298,2015,2019,4,4,0,1,0,3,12.0,0,1,0,0
6300,2015,2019,4,4,0,1,0,3,33.0,0,1,1,0
6331,2015,2019,4,4,0,1,0,4,1144.0,0,1,0,0
6333,2015,2019,4,4,0,1,0,4,2701.0,0,1,1,0
6353,2015,2019,4,4,0,1,0,5,22.0,0,1,0,0
6356,2015,2019,4,4,0,1,0,5,57.0,0,1,1,0
6397,2015,2019,4,4,0,1,2,8,188.0,0,1,0,0
6410,2015,2019,4,4,0,1,2,9,196.0,0,1,1,0
6412,2015,2019,4,4,0,1,2,9,28.0,0,1,0,0
6420,2015,2019,4,4,0,1,2,10,19.0,0,1,0,0
6423,2015,2019,4,4,0,1,2,10,73.0,0,1,1,0
6444,2015,2019,4,4,0,1,2,11,34.0,0,1,0,0
6445,2015,2019,4,4,0,1,2,11,453.0,0,1,1,0
6454,2015,2019,4,4,0,1,2,12,171.0,0,1,1,0
6456,2015,2019,4,4,0,1,2,12,26.0,0,1,0,0
6465,2015,2019,4,4,0,1,2,13,15.0,0,1,0,0
6466,2015,2019,4,4,0,1,2,13,43.0,0,1,1,0
6476,2015,2019,4,4,0,1,2,14,53.0,0,1,1,0
6500,2015,2019,4,4,0,1,3,7,36.0,0,1,0,0
6501,2015,2019,4,4,0,1,3,7,71.0,0,1,1,0
6508,2015,2019,4,4,0,1,3,15,187.0,0,1,0,0
6510,2015,2019,4,4,0,1,3,15,608.0,0,1,1,0
6522,2015,2019,4,4,0,1,3,20,564.0,0,1,1,0
6523,2015,2019,4,4,0,1,3,20,869.0,0,1,0,0
6529,2015,2019,4,4,0,1,3,26,120.0,0,1,0,0
6530,2015,2019,4,4,0,1,3,26,139.0,0,1,1,0
6544,2015,2019,4,4,0,1,3,27,68.0,0,1,0,0
6545,2015,2019,4,4,0,1,3,27,98.0,0,1,1,0
6596,2015,2019,4,4,0,1,4,21,419.0,0,1,0,0
6597,2015,2019,4,4,0,1,4,21,438.0,0,1,1,0
6704,2015,2019,4,4,0,0,1,2,224.0,0,0,1,0
6707,2015,2019,4,4,0,0,1,2,69.0,0,0,0,0
6714,2015,2019,4,4,0,0,1,25,408.0,0,0,0,0
6716,2015,2019,4,4,0,0,1,25,954.0,0,0,1,0
6717,2015,2019,4,4,0,0,5,22,1036.0,0,0,1,0
6722,2015,2019,4,4,0,0,5,22,333.0,0,0,0,0
6737,2015,2019,4,4,0,0,6,6,15.0,0,0,0,0
6738,2015,2019,4,4,0,0,6,6,18.0,0,0,1,0
6753,2015,2019,4,4,0,0,6,16,30.0,0,0,0,0
6756,2015,2019,4,4,0,0,6,16,96.0,0,0,1,0
6759,2015,2019,4,4,0,0,6,17,146.0,0,0,1,0
6763,2015,2019,4,4,0,0,6,17,57.0,0,0,0,0
6769,2015,2019,4,4,0,0,6,18,33.0,0,0,0,0
6771,2015,2019,4,4,0,0,6,18,48.0,0,0,1,0
6782,2015,2019,4,4,0,0,6,19,150.0,0,0,0,0
6786,2015,2019,4,4,0,0,6,19,739.0,0,0,1,0
